	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	0.01079	0.00579	0.00925	0.01333	0.01644	0.0171	0.14535	0.01318
16	0.01012	0.00544	0.00872	0.01256	0.01556	0.0164	0.13495	0.01227
17	0.00952	0.00512	0.00825	0.01188	0.01477	0.01576	0.1261	0.01148
18	0.00899	0.00484	0.00782	0.01127	0.01406	0.01516	0.1182	0.01078
19	0.00852	0.00459	0.00744	0.01072	0.01341	0.01461	0.11136	0.01016
20	0.0081	0.00436	0.00709	0.01022	0.01282	0.0141	0.10515	0.00961
21	0.00771	0.00416	0.00678	0.00976	0.01227	0.01362	0.0997	0.00911
22	0.00736	0.00397	0.00649	0.00935	0.01178	0.01317	0.0947	0.00867
23	0.00704	0.0038	0.00622	0.00897	0.01132	0.01275	0.09017	0.00826
24	0.00675	0.00364	0.00598	0.00861	0.01089	0.01236	0.08613	0.0079
25	0.00648	0.0035	0.00575	0.00829	0.0105	0.01199	0.08237	0.00756
26	0.00623	0.00336	0.00554	0.00799	0.01014	0.01164	0.07899	0.00725
27	0.006	0.00324	0.00535	0.0077	0.00979	0.01131	0.07582	0.00696
28	0.00578	0.00313	0.00517	0.00744	0.00947	0.011	0.07294	0.0067
29	0.00558	0.00302	0.005	0.0072	0.00918	0.01071	0.07022	0.00646
30	0.0054	0.00292	0.00484	0.00697	0.00889	0.01043	0.06775	0.00623
31	0.00522	0.00282	0.00469	0.00675	0.00863	0.01017	0.0654	0.00602
32	0.00506	0.00274	0.00455	0.00655	0.00838	0.00992	0.06325	0.00582
33	0.00491	0.00265	0.00442	0.00636	0.00815	0.00968	0.0612	0.00563
34	0.00476	0.00258	0.00429	0.00618	0.00793	0.00945	0.05928	0.00546
35	0.00463	0.0025	0.00417	0.00601	0.00772	0.00923	0.0575	0.0053
36	0.0045	0.00243	0.00406	0.00585	0.00752	0.00902	0.0558	0.00514
37	0.00438	0.00237	0.00396	0.0057	0.00733	0.00883	0.05423	0.005
38	0.00426	0.00231	0.00386	0.00556	0.00715	0.00864	0.05271	0.00486
39	0.00415	0.00225	0.00376	0.00542	0.00697	0.00845	0.05131	0.00473
40	0.00405	0.00219	0.00367	0.00529	0.00681	0.00828	0.04995	0.00461
41	0.00395	0.00214	0.00358	0.00516	0.00666	0.00811	0.04869	0.00449
42	0.00386	0.00209	0.0035	0.00504	0.00651	0.00795	0.04746	0.00438
43	0.00377	0.00204	0.00342	0.00493	0.00636	0.0078	0.04632	0.00427
44	0.00368	0.00199	0.00335	0.00482	0.00623	0.00765	0.04521	0.00417
45	0.0036	0.00195	0.00327	0.00472	0.0061	0.0075	0.04415	0.00408
46	0.00352	0.00191	0.00321	0.00462	0.00597	0.00737	0.04316	0.00399
47	0.00345	0.00187	0.00314	0.00452	0.00585	0.00723	0.04219	0.0039
48	0.00337	0.00183	0.00308	0.00443	0.00574	0.00711	0.04129	0.00381
49	0.00331	0.00179	0.00302	0.00434	0.00563	0.00698	0.0404	0.00373
50	0.00324	0.00176	0.00296	0.00426	0.00552	0.00686	0.03957	0.00366
