	380 nm	403 nm	438 nm	453 nm	472 nm	526 nm	593 nm	640 nm
15	0.213	0.256	0.17	0.242	0.201	0.454	0.249	0.252
16	0.216	0.257	0.171	0.244	0.202	0.453	0.251	0.253
17	0.22	0.258	0.172	0.245	0.204	0.452	0.252	0.255
18	0.222	0.26	0.174	0.247	0.205	0.453	0.253	0.256
19	0.224	0.261	0.175	0.248	0.206	0.452	0.254	0.258
20	0.226	0.261	0.175	0.25	0.207	0.452	0.255	0.259
21	0.228	0.262	0.176	0.251	0.209	0.451	0.255	0.26
22	0.231	0.264	0.177	0.251	0.209	0.451	0.256	0.261
23	0.232	0.263	0.177	0.253	0.21	0.451	0.257	0.262
24	0.234	0.264	0.177	0.254	0.211	0.451	0.257	0.262
25	0.235	0.266	0.179	0.255	0.211	0.45	0.258	0.263
26	0.236	0.268	0.179	0.255	0.212	0.45	0.258	0.263
27	0.238	0.265	0.179	0.257	0.213	0.45	0.259	0.264
28	0.239	0.268	0.18	0.257	0.213	0.449	0.259	0.264
29	0.24	0.268	0.18	0.258	0.215	0.449	0.26	0.265
30	0.241	0.267	0.18	0.258	0.215	0.449	0.26	0.265
31	0.243	0.27	0.181	0.259	0.216	0.448	0.26	0.266
32	0.243	0.27	0.182	0.26	0.216	0.449	0.261	0.266
33	0.244	0.272	0.181	0.261	0.216	0.448	0.261	0.266
34	0.246	0.271	0.182	0.261	0.217	0.448	0.261	0.267
35	0.246	0.272	0.182	0.261	0.218	0.449	0.262	0.268
36	0.247	0.272	0.182	0.262	0.218	0.448	0.262	0.268
37	0.247	0.27	0.182	0.261	0.218	0.447	0.262	0.268
38	0.249	0.273	0.184	0.263	0.218	0.448	0.262	0.267
39	0.248	0.271	0.184	0.264	0.22	0.447	0.263	0.268
40	0.249	0.274	0.183	0.263	0.219	0.447	0.263	0.269
41	0.251	0.271	0.184	0.264	0.219	0.448	0.263	0.269
42	0.251	0.273	0.183	0.264	0.22	0.448	0.263	0.269
43	0.252	0.275	0.184	0.264	0.22	0.447	0.263	0.269
44	0.253	0.271	0.185	0.266	0.22	0.447	0.263	0.271
45	0.253	0.272	0.187	0.265	0.221	0.447	0.264	0.27
46	0.253	0.272	0.184	0.266	0.221	0.446	0.264	0.271
47	0.252	0.273	0.185	0.265	0.221	0.447	0.264	0.269
48	0.255	0.273	0.185	0.266	0.221	0.446	0.264	0.27
49	0.254	0.274	0.185	0.267	0.222	0.447	0.264	0.271
50	0.256	0.273	0.186	0.268	0.221	0.446	0.264	0.27
Basis	rhodamine101	2016-10-11	nW	NaN	NaN	NaN	NaN	NaN
