# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
2.023375	1.379437	2.038219	3.564562	2.053063	0.671407	2.067906	1.59917	2.08275	2.075259	2.097594	0.866726	2.112437	1.306192	2.127281	1.721244	0.183111	0.170904	0.122074	0.122074	0.219733	0.207526	0.207526	0.195318	31.1
2.1425	1.391644	2.157359	3.552355	2.172219	0.671407	2.187078	1.586962	2.201938	2.063051	2.216797	0.842311	2.231656	1.330607	2.246516	1.721244	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.219733	31.1
2.262	1.403851	2.276813	3.52794	2.291625	0.671407	2.306437	1.59917	2.32125	2.038636	2.336063	0.842311	2.350875	1.306192	2.365687	1.721244	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
2.381	1.391644	2.395844	3.52794	2.410687	0.671407	2.425531	1.59917	2.440375	2.038636	2.455219	0.854518	2.470063	1.3184	2.484906	1.757866	0.170904	0.183111	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
2.500125	1.379437	2.514953	3.540147	2.529781	0.671407	2.544609	1.59917	2.559438	2.075259	2.574266	0.854518	2.589094	1.3184	2.603922	1.733451	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
2.61925	1.391644	2.634063	3.540147	2.648875	0.6592	2.663687	1.586962	2.6785	2.038636	2.693313	0.842311	2.708125	1.306192	2.722938	1.721244	0.170904	0.183111	0.122074	0.122074	0.207526	0.207526	0.195318	0.207526	31.1
2.73825	1.391644	2.753062	3.515732	2.767875	0.671407	2.782687	1.59917	2.7975	2.063051	2.812312	0.842311	2.827125	1.306192	2.841937	1.733451	0.170904	0.183111	0.134281	0.134281	0.207526	0.195318	0.207526	0.207526	31.1
2.85725	1.391644	2.872078	3.52794	2.886906	0.671407	2.901734	1.59917	2.916562	2.038636	2.931391	0.854518	2.946219	1.293985	2.961047	1.733451	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
2.97625	1.403851	2.991062	3.540147	3.005875	0.671407	3.020687	1.59917	3.0355	2.063051	3.050312	0.854518	3.065125	1.306192	3.079937	1.721244	0.170904	0.170904	0.134281	0.134281	0.219733	0.219733	0.207526	0.207526	31.1
3.09525	1.391644	3.110078	3.52794	3.124906	0.6592	3.139734	1.586962	3.154562	2.038636	3.169391	0.842311	3.184219	1.306192	3.199047	1.721244	0.183111	0.170904	0.122074	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
3.21425	1.391644	3.229125	3.52794	3.244	0.671407	3.258875	1.59917	3.27375	2.075259	3.288625	0.842311	3.3035	1.3184	3.318375	1.745659	0.170904	0.170904	0.122074	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
3.333625	1.379437	3.348453	3.52794	3.363281	0.671407	3.378109	1.59917	3.392937	2.063051	3.407766	0.854518	3.422594	1.306192	3.437422	1.733451	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
3.452625	1.379437	3.467469	3.503525	3.482312	0.671407	3.497156	1.586962	3.512	2.075259	3.526844	0.842311	3.541688	1.3184	3.556531	1.721244	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
3.57175	1.379437	3.586578	3.515732	3.601406	0.671407	3.616234	1.586962	3.631063	2.063051	3.645891	0.866726	3.660719	1.330607	3.675547	1.745659	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.207526	31.1
