# transimpedance=20M	averages=1.0	pump_speed=0.1
# ch_7_config:	ch_0_config:	ch_6_config:	ch_1_config:	ch_5_config:	ch_2_config:	ch_4_config:	ch_3_config:	
# LED = 526 nm	LED = 438 nm	LED = 593 nm	LED = 453 nm	LED = 380 nm	LED = 472 nm	LED = 403 nm	LED = 640 nm	
# cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	cur = 50 mA	
# ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	ADC = +/- 4V	
# blk=1115.8+/-18.1pW	blk=3460.7+/-17.8pW	blk=505.3+/-19.5pW	blk=1202.7+/-17.2pW	blk=1494.7+/-25.1pW	blk=688.1+/-16.6pW	blk=700.3+/-17.5pW	blk=1413.2+/-15.7pW	
# t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	t[s]	light [nW]	dark_7 [nW]	dark_0 [nW]	dark_6 [nW]	dark_1 [nW]	dark_5 [nW]	dark_2 [nW]	dark_4 [nW]	dark_3 [nW]	tmep[deg C]
9.405625	1.379437	9.420438	3.503525	9.43525	0.6592	9.450062	1.59917	9.464875	2.063051	9.479688	0.842311	9.4945	1.306192	9.509313	1.721244	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.195318	0.195318	31.1
9.524625	1.367229	9.539438	3.503525	9.55425	0.671407	9.569062	1.611377	9.583875	2.050844	9.598688	0.842311	9.6135	1.293985	9.628312	1.745659	0.183111	0.183111	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
9.6435	1.355022	9.658344	3.503525	9.673187	0.671407	9.688031	1.59917	9.702875	2.075259	9.717719	0.854518	9.732563	1.293985	9.747406	1.721244	0.170904	0.170904	0.122074	0.146489	0.219733	0.207526	0.195318	0.207526	31.1
9.762625	1.355022	9.777469	3.491317	9.792312	0.671407	9.807156	1.611377	9.822	2.026429	9.836844	0.854518	9.851688	1.293985	9.866531	1.721244	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
9.881875	1.355022	9.896688	3.491317	9.9115	0.671407	9.926312	1.59917	9.941125	2.038636	9.955938	0.842311	9.97075	1.293985	9.985563	1.721244	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
10.00075	1.367229	10.015578	3.503525	10.030406	0.671407	10.045234	1.59917	10.060063	2.014222	10.074891	0.842311	10.089719	1.3184	10.104547	1.721244	0.183111	0.170904	0.134281	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
10.119875	1.355022	10.134688	3.491317	10.1495	0.671407	10.164312	1.59917	10.179125	2.050844	10.193938	0.842311	10.20875	1.330607	10.223562	1.733451	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
10.238875	1.367229	10.253719	3.491317	10.268562	0.671407	10.283406	1.59917	10.29825	2.050844	10.313094	0.927763	10.327938	1.281777	10.342781	1.721244	0.183111	0.170904	0.109867	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
10.358	1.342814	10.372828	3.491317	10.387656	0.671407	10.402484	1.59917	10.417313	2.038636	10.432141	0.854518	10.446969	1.293985	10.461797	1.721244	0.183111	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
10.477	1.342814	10.491828	3.491317	10.506656	0.6592	10.521484	1.59917	10.536313	2.026429	10.551141	0.842311	10.565969	1.293985	10.580797	1.721244	0.170904	0.170904	0.134281	0.122074	0.207526	0.207526	0.207526	0.195318	31.1
10.596	1.342814	10.610828	3.503525	10.625656	0.683615	10.640484	1.59917	10.655313	2.038636	10.670141	0.866726	10.684969	1.306192	10.699797	1.721244	0.170904	0.170904	0.122074	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
10.715	1.342814	10.729844	3.491317	10.744687	0.671407	10.759531	1.611377	10.774375	2.038636	10.789219	0.854518	10.804063	1.293985	10.818906	1.733451	0.170904	0.183111	0.134281	0.134281	0.219733	0.219733	0.207526	0.207526	31.1
10.834125	24.024171	10.848937	18.482009	10.86375	1.245155	10.878562	2.185125	10.893375	3.308206	10.908188	1.660207	10.923	2.429273	10.937812	3.344829	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
10.953125	23.999756	10.967953	19.141209	10.982781	1.232948	10.997609	2.197333	11.012438	3.295999	11.027266	1.648	11.042094	2.429273	11.056922	3.357036	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
11.072125	14.978484	11.086953	9.839167	11.101781	1.232948	11.116609	2.233955	11.131438	3.320414	11.146266	1.635792	11.161094	2.417066	11.175922	3.369243	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.195318	31.1
11.19125	3.344829	11.206062	7.739494	11.220875	1.379437	11.235687	6.946013	11.2505	3.320414	11.265313	1.635792	11.280125	2.429273	11.294937	3.357036	0.170904	0.183111	0.146489	0.122074	0.219733	0.219733	0.207526	0.195318	31.1
11.31025	17.700735	11.325078	18.518632	11.339906	1.464888	11.354734	10.644856	11.369563	3.320414	11.384391	1.648	11.399219	2.441481	11.414047	3.344829	0.183111	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.195318	31.1
11.42925	26.905118	11.444078	20.154424	11.458906	1.416059	11.473734	10.559404	11.488563	3.320414	11.503391	1.660207	11.518219	2.441481	11.533047	3.344829	0.183111	0.183111	0.134281	0.122074	0.207526	0.219733	0.207526	0.195318	31.1
11.54825	25.122837	11.563078	19.531846	11.577906	1.440474	11.592734	8.520768	11.607563	3.332621	11.622391	1.648	11.637219	2.429273	11.652047	3.344829	0.183111	0.170904	0.134281	0.146489	0.219733	0.219733	0.195318	0.207526	31.1
11.66725	25.171667	11.682078	19.556261	11.696906	1.281777	11.711734	3.613392	11.726562	3.503525	11.741391	2.25837	11.756219	2.417066	11.771047	3.357036	0.183111	0.183111	0.122074	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
11.786375	25.171667	11.801187	19.531846	11.816	1.281777	11.830813	3.906369	11.845625	11.206397	11.860437	7.104709	11.87525	2.417066	11.890063	3.344829	0.170904	0.170904	0.122074	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
11.905375	25.196081	11.920219	19.544053	11.935062	1.55034	11.949906	9.753716	11.96475	19.019135	11.979594	11.828974	11.994438	2.441481	12.009281	3.357036	0.183111	0.170904	0.122074	0.122074	0.207526	0.207526	0.195318	0.207526	31.1
12.024625	25.244911	12.039453	19.556261	12.054281	1.611377	12.069109	11.816767	12.083938	17.944884	12.098766	11.462752	12.113594	2.429273	12.128422	3.357036	0.183111	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
12.143625	25.318155	12.158437	19.885861	12.17325	1.477096	12.188062	11.316263	12.202875	18.811609	12.217688	11.682485	12.2325	2.417066	12.247312	3.357036	0.183111	0.183111	0.122074	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
12.262625	25.464644	12.277453	20.044557	12.292281	1.452681	12.307109	11.243019	12.321938	12.903226	12.336766	7.812738	12.351594	2.453688	12.366422	3.344829	0.170904	0.170904	0.122074	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
12.381625	25.537889	12.396469	19.959105	12.411312	1.452681	12.426156	11.255226	12.441	4.882962	12.455844	3.283792	12.470688	3.75988	12.485531	3.979614	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.195318	31.1
12.500875	25.464644	12.515719	19.739372	12.530563	1.464888	12.545406	11.291849	12.56025	6.115909	12.575094	4.528947	12.589937	10.168767	12.604781	4.712058	0.170904	0.183111	0.134281	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
12.62	25.489059	12.634828	19.898068	12.649656	1.464888	12.664484	11.316263	12.679312	16.83401	12.694141	9.924619	12.708969	12.158574	12.723797	4.821924	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
12.739	25.489059	12.753828	19.751579	12.768656	1.464888	12.783484	11.340678	12.798313	21.179846	12.813141	13.562426	12.827969	11.389508	12.842797	4.480117	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
12.858125	25.525681	12.872937	19.763787	12.88775	1.464888	12.902563	11.3773	12.917375	19.775994	12.932187	12.622456	12.947	11.816767	12.961813	4.724265	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
12.977125	25.586718	12.991953	19.678335	13.006781	1.452681	13.021609	11.499374	13.036437	19.592883	13.051266	12.524796	13.066094	9.997864	13.080922	4.724265	0.183111	0.170904	0.134281	0.122074	0.207526	0.207526	0.207526	0.207526	31.1
13.09625	25.562304	13.111062	19.666128	13.125875	1.477096	13.140688	11.523789	13.1555	19.629505	13.170312	12.549211	13.185125	4.895169	13.199938	4.516739	0.170904	0.183111	0.122074	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
13.21525	25.562304	13.230078	19.629505	13.244906	1.464888	13.259734	11.511582	13.274563	19.666128	13.289391	12.585833	13.304219	2.966399	13.319047	4.101688	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
13.33425	25.574511	13.349078	19.641713	13.363906	1.477096	13.378734	11.645863	13.393563	19.629505	13.408391	12.585833	13.423219	6.433302	13.438047	4.834132	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
13.45325	25.550096	13.468094	19.666128	13.482938	1.464888	13.497781	11.658071	13.512625	19.666128	13.527469	12.634663	13.542312	12.6957	13.557156	5.334635	0.170904	0.170904	0.146489	0.134281	0.231941	0.207526	0.207526	0.195318	31.1
13.5725	25.562304	13.587328	19.65392	13.602156	1.477096	13.616984	11.584826	13.631812	19.788202	13.646641	12.683493	13.661469	13.830988	13.676297	5.249184	0.170904	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
13.6915	25.598926	13.706328	19.666128	13.721156	1.477096	13.735984	11.535997	13.750812	19.788202	13.765641	12.732322	13.780469	13.074129	13.795297	4.809717	0.170904	0.183111	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
13.810625	25.67217	13.825437	19.763787	13.84025	1.477096	13.855063	11.548204	13.869875	19.885861	13.884688	12.768944	13.8995	12.927641	13.914313	4.785302	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
13.9295	25.745415	13.944328	19.995727	13.959156	1.477096	13.973984	11.535997	13.988813	19.861446	14.003641	12.756737	14.018469	12.964263	14.033297	4.785302	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
14.048625	25.769829	14.063453	20.020142	14.078281	1.464888	14.093109	11.535997	14.107937	19.849239	14.122766	12.74453	14.137594	13.049715	14.152422	4.785302	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
14.16775	25.757622	14.182562	19.861446	14.197375	1.464888	14.212188	11.511582	14.227	19.849239	14.241812	12.756737	14.256625	12.939848	14.271438	4.785302	0.183111	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
14.28675	25.721	14.301562	19.763787	14.316375	1.477096	14.331188	11.511582	14.346	19.873653	14.360812	12.732322	14.375625	12.939848	14.390438	4.773095	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
14.40575	25.721	14.420578	19.751579	14.435406	1.477096	14.450234	11.499374	14.465062	19.812616	14.479891	12.720115	14.494719	12.891018	14.509547	4.773095	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
14.52475	25.745415	14.539594	19.775994	14.554437	1.464888	14.569281	11.487167	14.584125	19.763787	14.598969	12.683493	14.613812	12.866604	14.628656	4.74868	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
14.643875	25.757622	14.658703	19.751579	14.673531	1.477096	14.688359	11.487167	14.703187	19.800409	14.718016	12.671285	14.732844	12.878811	14.747672	4.760887	0.183111	0.170904	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
14.763	25.745415	14.777812	19.727165	14.792625	1.477096	14.807438	11.450545	14.82225	19.788202	14.837063	12.671285	14.851875	12.842189	14.866688	4.773095	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
14.882	25.757622	14.896828	19.775994	14.911656	1.477096	14.926484	11.47496	14.941312	19.800409	14.956141	12.683493	14.970969	12.866604	14.985797	4.760887	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
15.001	25.855281	15.015828	19.812616	15.030656	1.489303	15.045484	11.511582	15.060312	19.812616	15.075141	12.707907	15.089969	12.891018	15.104797	4.773095	0.183111	0.170904	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
15.120125	25.95294	15.134953	19.861446	15.149781	1.464888	15.164609	11.548204	15.179437	19.800409	15.194266	12.6957	15.209094	12.891018	15.223922	4.773095	0.170904	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
15.23925	26.026185	15.254078	20.166631	15.268906	1.477096	15.283734	11.597034	15.298562	19.763787	15.313391	12.6957	15.328219	12.878811	15.343047	4.74868	0.170904	0.183111	0.134281	0.146489	0.207526	0.219733	0.195318	0.195318	31.1
15.358375	26.184881	15.373203	21.155431	15.388031	1.489303	15.402859	11.645863	15.417687	19.727165	15.432516	12.671285	15.447344	12.878811	15.462172	4.74868	0.170904	0.183111	0.134281	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
15.477375	26.258126	15.492203	20.825831	15.507031	1.489303	15.521859	11.633656	15.536687	19.739372	15.551516	12.671285	15.566344	12.842189	15.581172	4.760887	0.170904	0.170904	0.122074	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
15.596375	26.221503	15.611203	20.215461	15.626031	1.477096	15.640859	11.621448	15.655687	19.751579	15.670516	12.659078	15.685344	12.829981	15.700172	4.74868	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.183111	0.195318	31.1
15.7155	26.123844	15.730313	19.898068	15.745125	1.464888	15.759937	11.633656	15.77475	19.739372	15.789563	12.659078	15.804375	12.854396	15.819187	4.760887	0.183111	0.183111	0.122074	0.134281	0.207526	0.231941	0.207526	0.195318	31.1
15.8345	26.111637	15.849328	19.861446	15.864156	1.489303	15.878984	11.621448	15.893812	19.751579	15.908641	12.659078	15.923469	12.854396	15.938297	4.74868	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
15.9535	26.099429	15.968328	19.849239	15.983156	1.489303	15.997984	11.621448	16.012812	19.788202	16.027641	12.659078	16.042469	12.878811	16.057297	4.760887	0.170904	0.183111	0.134281	0.122074	0.219733	0.207526	0.207526	0.195318	31.1
16.072625	26.087222	16.087453	19.837031	16.102281	1.477096	16.117109	11.621448	16.131937	19.788202	16.146766	12.671285	16.161594	12.829981	16.176422	4.74868	0.170904	0.170904	0.122074	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
16.19175	26.087222	16.206594	19.861446	16.221438	1.477096	16.236281	11.743522	16.251125	19.751579	16.265969	12.634663	16.280812	12.891018	16.295656	4.74868	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
16.310875	25.965148	16.325703	19.873653	16.340531	1.489303	16.355359	11.963256	16.370188	19.739372	16.385016	12.634663	16.399844	12.866604	16.414672	4.74868	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
16.43	25.867489	16.444813	19.849239	16.459625	1.477096	16.474438	11.780145	16.48925	19.763787	16.504062	12.64687	16.518875	12.891018	16.533687	4.760887	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
16.549	25.830866	16.563828	19.800409	16.578656	1.489303	16.593484	11.584826	16.608313	19.812616	16.623141	12.671285	16.637969	12.915433	16.652797	4.74868	0.170904	0.170904	0.122074	0.134281	0.207526	0.195318	0.207526	0.195318	31.1
16.668125	25.745415	16.682953	19.775994	16.697781	1.464888	16.712609	11.548204	16.727438	19.800409	16.742266	12.659078	16.757094	12.866604	16.771922	4.74868	0.170904	0.170904	0.122074	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
16.78725	25.745415	16.802078	19.763787	16.816906	1.477096	16.831734	11.535997	16.846563	19.861446	16.861391	12.707907	16.876219	12.842189	16.891047	4.74868	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
16.906375	25.721	16.921188	19.763787	16.936	1.477096	16.950813	11.535997	16.965625	20.105594	16.980438	12.805567	16.99525	12.866604	17.010063	4.760887	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
17.02525	25.745415	17.040078	19.763787	17.054906	1.464888	17.069734	11.511582	17.084563	20.496231	17.099391	12.952055	17.114219	12.891018	17.129047	4.773095	0.170904	0.183111	0.134281	0.134281	0.219733	0.207526	0.219733	0.195318	31.1
17.144375	25.757622	17.159203	19.763787	17.174031	1.464888	17.188859	11.499374	17.203688	20.300913	17.218516	12.891018	17.233344	12.915433	17.248172	4.773095	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
17.263375	25.769829	17.278219	19.800409	17.293062	1.477096	17.307906	11.499374	17.32275	19.898068	17.337594	12.732322	17.352438	12.891018	17.367281	4.760887	0.170904	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
17.382625	25.806452	17.397438	19.861446	17.41225	1.477096	17.427062	11.487167	17.441875	19.788202	17.456688	12.64687	17.4715	12.891018	17.486312	4.760887	0.170904	0.170904	0.122074	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
17.501625	25.806452	17.516453	19.910276	17.531281	1.477096	17.546109	11.499374	17.560938	19.751579	17.575766	12.64687	17.590594	12.939848	17.605422	4.773095	0.183111	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.195318	31.1
17.620625	25.818659	17.635453	19.849239	17.650281	1.477096	17.665109	11.511582	17.679938	19.714957	17.694766	12.610248	17.709594	13.013092	17.724422	4.785302	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.207526	0.195318	31.1
17.739625	25.843074	17.754469	19.812616	17.769312	1.477096	17.784156	11.523789	17.799	19.751579	17.813844	12.610248	17.828688	12.964263	17.843531	4.79751	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
17.85875	25.818659	17.873594	19.800409	17.888438	1.477096	17.903281	11.523789	17.918125	19.739372	17.932969	12.622456	17.947812	13.171789	17.962656	4.834132	0.183111	0.170904	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
17.977875	25.806452	17.992703	19.788202	18.007531	1.477096	18.022359	11.535997	18.037188	19.739372	18.052016	12.622456	18.066844	13.171789	18.081672	4.821924	0.170904	0.183111	0.122074	0.122074	0.207526	0.207526	0.207526	0.207526	31.1
18.096875	25.794244	18.111688	19.800409	18.1265	1.477096	18.141313	11.548204	18.156125	19.727165	18.170938	12.622456	18.18575	12.927641	18.200563	4.773095	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
18.215875	25.830866	18.230703	19.800409	18.245531	1.477096	18.260359	11.535997	18.275188	19.714957	18.290016	12.634663	18.304844	12.927641	18.319672	4.773095	0.170904	0.183111	0.134281	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
18.335	25.830866	18.349844	19.824824	18.364688	1.477096	18.379531	11.535997	18.394375	19.739372	18.409219	12.64687	18.424062	12.939848	18.438906	4.785302	0.183111	0.170904	0.122074	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
18.454125	25.818659	18.468953	19.800409	18.483781	1.477096	18.498609	11.621448	18.513438	19.788202	18.528266	12.64687	18.543094	13.013092	18.557922	4.785302	0.183111	0.183111	0.134281	0.134281	0.219733	0.207526	0.195318	0.195318	31.1
18.573125	25.782037	18.587953	19.739372	18.602781	1.477096	18.617609	11.633656	18.632438	19.800409	18.647266	12.683493	18.662094	13.0253	18.676922	4.785302	0.183111	0.170904	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
18.692125	25.818659	18.706953	19.775994	18.721781	1.477096	18.736609	11.609241	18.751438	19.824824	18.766266	12.683493	18.781094	12.927641	18.795922	4.785302	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
18.811125	25.855281	18.825953	19.800409	18.840781	1.477096	18.855609	11.560411	18.870438	19.812616	18.885266	12.6957	18.900094	12.915433	18.914922	4.773095	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
18.93025	25.855281	18.945078	19.800409	18.959906	1.489303	18.974734	11.572619	18.989562	19.788202	19.004391	12.683493	19.019219	12.927641	19.034047	4.785302	0.183111	0.170904	0.122074	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
19.04925	25.855281	19.064094	19.800409	19.078938	1.477096	19.093781	11.548204	19.108625	19.824824	19.123469	12.6957	19.138312	12.915433	19.153156	4.773095	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
19.168375	25.818659	19.183203	19.800409	19.198031	1.489303	19.212859	11.535997	19.227688	19.873653	19.242516	12.6957	19.257344	12.927641	19.272172	4.773095	0.170904	0.170904	0.122074	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
19.287375	25.879696	19.302203	19.812616	19.317031	1.477096	19.331859	11.548204	19.346688	19.849239	19.361516	12.6957	19.376344	12.939848	19.391172	4.785302	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
19.4065	25.891903	19.421328	19.824824	19.436156	1.489303	19.450984	11.535997	19.465812	19.837031	19.480641	12.707907	19.495469	12.939848	19.510297	4.785302	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
19.525625	25.928526	19.540438	19.812616	19.55525	1.477096	19.570062	11.572619	19.584875	19.861446	19.599688	12.732322	19.6145	12.939848	19.629312	4.773095	0.170904	0.183111	0.134281	0.122074	0.219733	0.207526	0.207526	0.195318	31.1
19.644625	25.940733	19.659453	19.812616	19.674281	1.477096	19.689109	11.572619	19.703938	19.946898	19.718766	12.74453	19.733594	12.939848	19.748422	4.773095	0.183111	0.183111	0.134281	0.122074	0.219733	0.207526	0.207526	0.195318	31.1
19.76375	25.928526	19.778562	19.800409	19.793375	1.489303	19.808188	11.584826	19.823	19.922483	19.837812	12.74453	19.852625	12.915433	19.867438	4.785302	0.170904	0.170904	0.122074	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
19.88275	25.928526	19.897578	19.824824	19.912406	1.477096	19.927234	11.572619	19.942062	19.861446	19.956891	12.732322	19.971719	12.927641	19.986547	4.79751	0.170904	0.170904	0.134281	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
20.001875	25.95294	20.016719	19.824824	20.031562	1.489303	20.046406	11.584826	20.06125	19.861446	20.076094	12.707907	20.090937	12.927641	20.105781	4.785302	0.170904	0.183111	0.122074	0.122074	0.219733	0.207526	0.219733	0.207526	31.1
20.121	25.95294	20.135828	19.837031	20.150656	1.477096	20.165484	11.584826	20.180312	19.873653	20.195141	12.720115	20.209969	12.915433	20.224797	4.773095	0.170904	0.170904	0.122074	0.134281	0.219733	0.207526	0.195318	0.207526	31.1
20.240125	25.95294	20.254953	19.861446	20.269781	1.477096	20.284609	11.597034	20.299437	19.898068	20.314266	12.720115	20.329094	12.927641	20.343922	4.785302	0.183111	0.170904	0.122074	0.134281	0.219733	0.207526	0.207526	0.195318	31.1
20.35925	25.977355	20.374078	19.873653	20.388906	1.477096	20.403734	11.609241	20.418563	19.885861	20.433391	12.732322	20.448219	12.939848	20.463047	4.785302	0.170904	0.183111	0.134281	0.122074	0.207526	0.207526	0.195318	0.195318	31.1
20.47825	25.989563	20.493094	19.93469	20.507938	1.489303	20.522781	11.597034	20.537625	19.885861	20.552469	12.74453	20.567312	12.939848	20.582156	4.773095	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.207526	31.1
20.597375	26.013977	20.612203	19.946898	20.627031	1.489303	20.641859	11.584826	20.656688	19.898068	20.671516	12.74453	20.686344	12.97647	20.701172	4.785302	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
20.716375	26.038392	20.731203	19.971313	20.746031	1.477096	20.760859	11.597034	20.775688	19.898068	20.790516	12.74453	20.805344	13.0253	20.820172	4.785302	0.170904	0.183111	0.134281	0.122074	0.219733	0.207526	0.207526	0.207526	31.1
20.835375	26.038392	20.850219	19.98352	20.865063	1.477096	20.879906	11.621448	20.89475	19.946898	20.909594	12.768944	20.924437	12.964263	20.939281	4.785302	0.170904	0.183111	0.134281	0.122074	0.207526	0.219733	0.207526	0.207526	31.1
20.9545	26.013977	20.969328	19.971313	20.984156	1.477096	20.998984	11.597034	21.013813	19.959105	21.028641	12.781152	21.043469	12.952055	21.058297	4.785302	0.170904	0.170904	0.134281	0.134281	0.219733	0.219733	0.195318	0.195318	31.1
21.073625	26.013977	21.0885	19.946898	21.103375	1.477096	21.11825	11.621448	21.133125	19.93469	21.148	12.781152	21.162875	12.939848	21.17775	4.785302	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
21.193125	26.00177	21.207937	19.946898	21.22275	1.477096	21.237562	11.609241	21.252375	19.93469	21.267187	12.781152	21.282	12.964263	21.296812	4.79751	0.183111	0.170904	0.134281	0.134281	0.219733	0.219733	0.207526	0.207526	31.1
21.312125	25.989563	21.326922	19.959105	21.341719	1.477096	21.356516	11.621448	21.371313	19.910276	21.386109	12.768944	21.400906	12.952055	21.415703	4.785302	0.170904	0.183111	0.122074	0.134281	0.207526	0.207526	0.207526	0.207526	31.1
21.431	26.00177	21.445813	19.971313	21.460625	1.477096	21.475437	11.633656	21.49025	19.971313	21.505063	12.781152	21.519875	12.964263	21.534687	4.79751	0.170904	0.183111	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
21.55	26.038392	21.564828	19.995727	21.579656	1.477096	21.594484	11.633656	21.609313	19.959105	21.624141	12.793359	21.638969	12.964263	21.653797	4.785302	0.170904	0.170904	0.134281	0.122074	0.219733	0.207526	0.195318	0.207526	31.1
21.669125	26.075014	21.683953	20.007935	21.698781	1.489303	21.713609	11.633656	21.728437	19.946898	21.743266	12.817774	21.758094	12.939848	21.772922	4.785302	0.183111	0.183111	0.134281	0.134281	0.219733	0.219733	0.207526	0.195318	31.1
21.78825	26.075014	21.803063	20.007935	21.817875	1.489303	21.832687	11.609241	21.8475	19.959105	21.862313	12.805567	21.877125	12.939848	21.891937	4.79751	0.183111	0.170904	0.134281	0.134281	0.207526	0.207526	0.207526	0.195318	31.1
21.90725	26.062807	21.922063	20.007935	21.936875	1.477096	21.951687	11.633656	21.9665	19.995727	21.981313	12.805567	21.996125	12.97647	22.010937	4.785302	0.170904	0.170904	0.134281	0.134281	0.207526	0.219733	0.207526	0.207526	31.1
22.02625	26.038392	22.041078	19.98352	22.055906	1.489303	22.070734	11.621448	22.085563	19.995727	22.100391	12.817774	22.115219	12.97647	22.130047	4.79751	0.183111	0.170904	0.146489	0.134281	0.207526	0.219733	0.195318	0.207526	31.1
22.14525	26.026185	22.160094	19.98352	22.174937	1.489303	22.189781	11.645863	22.204625	19.995727	22.219469	12.817774	22.234313	12.964263	22.249156	4.79751	0.170904	0.170904	0.134281	0.134281	0.207526	0.207526	0.195318	0.195318	31.1
